comuna,candidato,votos,porcentaje
"ÑUÑOA","1. JOAQUIN LAVIN INFANTE",8169,29.15
"ÑUÑOA","2. IGNACIO BRIONES ROJAS",4035,14.4
"ÑUÑOA","3. SEBASTIAN SICHEL RAMIREZ",13485,48.12
"ÑUÑOA","4. MARIO DESBORDES JIMENEZ",2333,8.33
"ÑUÑOA","5. GABRIEL BORIC FONT",35396,67.54
"ÑUÑOA","6. DANIEL JADUE JADUE",17009,32.46
"ÑIQUEN","1. JOAQUIN LAVIN INFANTE",500,54.05
"ÑIQUEN","2. IGNACIO BRIONES ROJAS",20,2.16
"ÑIQUEN","3. SEBASTIAN SICHEL RAMIREZ",333,36
"ÑIQUEN","4. MARIO DESBORDES JIMENEZ",72,7.78
"ÑIQUEN","5. GABRIEL BORIC FONT",282,66.98
"ÑIQUEN","6. DANIEL JADUE JADUE",139,33.02
ZAPALLAR,"1. JOAQUIN LAVIN INFANTE",596,29.29
ZAPALLAR,"2. IGNACIO BRIONES ROJAS",286,14.05
ZAPALLAR,"3. SEBASTIAN SICHEL RAMIREZ",1088,53.46
ZAPALLAR,"4. MARIO DESBORDES JIMENEZ",65,3.19
ZAPALLAR,"5. GABRIEL BORIC FONT",673,67.98
ZAPALLAR,"6. DANIEL JADUE JADUE",317,32.02
YUNGAY,"1. JOAQUIN LAVIN INFANTE",326,33.75
YUNGAY,"2. IGNACIO BRIONES ROJAS",70,7.25
YUNGAY,"3. SEBASTIAN SICHEL RAMIREZ",447,46.27
YUNGAY,"4. MARIO DESBORDES JIMENEZ",123,12.73
YUNGAY,"5. GABRIEL BORIC FONT",618,64.04
YUNGAY,"6. DANIEL JADUE JADUE",347,35.96
YUMBEL,"1. JOAQUIN LAVIN INFANTE",483,33.85
YUMBEL,"2. IGNACIO BRIONES ROJAS",103,7.22
YUMBEL,"3. SEBASTIAN SICHEL RAMIREZ",642,44.99
YUMBEL,"4. MARIO DESBORDES JIMENEZ",199,13.95
YUMBEL,"5. GABRIEL BORIC FONT",832,68.53
YUMBEL,"6. DANIEL JADUE JADUE",382,31.47
"YERBAS BUENAS","1. JOAQUIN LAVIN INFANTE",345,37.02
"YERBAS BUENAS","2. IGNACIO BRIONES ROJAS",56,6.01
"YERBAS BUENAS","3. SEBASTIAN SICHEL RAMIREZ",415,44.53
"YERBAS BUENAS","4. MARIO DESBORDES JIMENEZ",116,12.45
"YERBAS BUENAS","5. GABRIEL BORIC FONT",458,69.82
"YERBAS BUENAS","6. DANIEL JADUE JADUE",198,30.18
"VIÑA DEL MAR","1. JOAQUIN LAVIN INFANTE",9943,29.7
"VIÑA DEL MAR","2. IGNACIO BRIONES ROJAS",4065,12.14
"VIÑA DEL MAR","3. SEBASTIAN SICHEL RAMIREZ",16003,47.79
"VIÑA DEL MAR","4. MARIO DESBORDES JIMENEZ",3472,10.37
"VIÑA DEL MAR","5. GABRIEL BORIC FONT",24226,63.63
"VIÑA DEL MAR","6. DANIEL JADUE JADUE",13848,36.37
VITACURA,"1. JOAQUIN LAVIN INFANTE",12283,32.02
VITACURA,"2. IGNACIO BRIONES ROJAS",7932,20.68
VITACURA,"3. SEBASTIAN SICHEL RAMIREZ",17235,44.93
VITACURA,"4. MARIO DESBORDES JIMENEZ",908,2.37
VITACURA,"5. GABRIEL BORIC FONT",7085,89.62
VITACURA,"6. DANIEL JADUE JADUE",821,10.38
VILLARRICA,"1. JOAQUIN LAVIN INFANTE",1542,31.04
VILLARRICA,"2. IGNACIO BRIONES ROJAS",423,8.51
VILLARRICA,"3. SEBASTIAN SICHEL RAMIREZ",2433,48.97
VILLARRICA,"4. MARIO DESBORDES JIMENEZ",570,11.47
VILLARRICA,"5. GABRIEL BORIC FONT",2998,63.3
VILLARRICA,"6. DANIEL JADUE JADUE",1738,36.7
"VILLA ALEMANA","1. JOAQUIN LAVIN INFANTE",2488,26.65
"VILLA ALEMANA","2. IGNACIO BRIONES ROJAS",725,7.77
"VILLA ALEMANA","3. SEBASTIAN SICHEL RAMIREZ",4853,51.98
"VILLA ALEMANA","4. MARIO DESBORDES JIMENEZ",1270,13.6
"VILLA ALEMANA","5. GABRIEL BORIC FONT",8785,61.71
"VILLA ALEMANA","6. DANIEL JADUE JADUE",5450,38.29
"VILLA ALEGRE","1. JOAQUIN LAVIN INFANTE",426,34.03
"VILLA ALEGRE","2. IGNACIO BRIONES ROJAS",70,5.59
"VILLA ALEGRE","3. SEBASTIAN SICHEL RAMIREZ",561,44.81
"VILLA ALEGRE","4. MARIO DESBORDES JIMENEZ",195,15.58
"VILLA ALEGRE","5. GABRIEL BORIC FONT",573,67.02
"VILLA ALEGRE","6. DANIEL JADUE JADUE",282,32.98
VILCUN,"1. JOAQUIN LAVIN INFANTE",597,28.27
VILCUN,"2. IGNACIO BRIONES ROJAS",125,5.92
VILCUN,"3. SEBASTIAN SICHEL RAMIREZ",1253,59.33
VILCUN,"4. MARIO DESBORDES JIMENEZ",137,6.49
VILCUN,"5. GABRIEL BORIC FONT",764,66.43
VILCUN,"6. DANIEL JADUE JADUE",386,33.57
"VICUÑA","1. JOAQUIN LAVIN INFANTE",417,37.4
"VICUÑA","2. IGNACIO BRIONES ROJAS",91,8.16
"VICUÑA","3. SEBASTIAN SICHEL RAMIREZ",472,42.33
"VICUÑA","4. MARIO DESBORDES JIMENEZ",135,12.11
"VICUÑA","5. GABRIEL BORIC FONT",1135,60.66
"VICUÑA","6. DANIEL JADUE JADUE",736,39.34
VICTORIA,"1. JOAQUIN LAVIN INFANTE",918,30.22
VICTORIA,"2. IGNACIO BRIONES ROJAS",205,6.75
VICTORIA,"3. SEBASTIAN SICHEL RAMIREZ",1564,51.48
VICTORIA,"4. MARIO DESBORDES JIMENEZ",351,11.55
VICTORIA,"5. GABRIEL BORIC FONT",1115,70.66
